env_id_a_only,task_index,task,num_samples_a_only,action_l1_loss_a_only,model_name_a_only,env_id_abc,num_samples_abc,action_l1_loss_abc,model_name_abc,delta_a_minus_abc
D,0,move_slider_left: move the door to the left side,975,0.269119182290175,ACT-A-only,D,975,0.2674326077944193,ACT-ABC,0.0016865744957557105
D,1,move_slider_left: slide the door to the left side,534,0.2722132085274891,ACT-A-only,D,534,0.2682970387770442,ACT-ABC,0.003916169750444898
D,2,turn_off_lightbulb: slide down the switch,845,0.2087674811746947,ACT-A-only,D,845,0.1869458965824905,ACT-ABC,0.021821584592204207
D,3,turn_on_led: toggle the button to turn on the green light,613,0.2683478467786293,ACT-A-only,D,613,0.2458262301580357,ACT-ABC,0.02252161662059357
D,4,turn_on_lightbulb: toggle the light switch to turn on the yellow light,650,0.2148712427512957,ACT-A-only,D,650,0.2180237624221123,ACT-ABC,-0.0031525196708165892
D,5,turn_on_lightbulb: push the switch upwards,938,0.1873719438529218,ACT-A-only,D,938,0.1702148001998472,ACT-ABC,0.017157143653074608
D,6,turn_on_led: push down the button to turn on the led,431,0.2745871377585935,ACT-A-only,D,431,0.2722870042837136,ACT-ABC,0.002300133474879895
D,7,open_drawer: open the cabinet drawer,1040,0.270422407067739,ACT-A-only,D,1040,0.2291693221312016,ACT-ABC,0.0412530849365374
D,8,open_drawer: grasp the drawer handle and open it,1040,0.2445497514966588,ACT-A-only,D,1040,0.1793565400661184,ACT-ABC,0.06519321143054041
D,9,turn_on_lightbulb: move up the switch,845,0.1910030020059213,ACT-A-only,D,845,0.1888751604059744,ACT-ABC,0.002127841599946889
D,10,open_drawer: pull the handle of the drawer,910,0.2539977798258865,ACT-A-only,D,910,0.191594446000162,ACT-ABC,0.062403333825724494
D,11,move_slider_left: move the sliding door to the left,650,0.2750167999244653,ACT-A-only,D,650,0.2686386636587289,ACT-ABC,0.006378136265736412
D,12,place_in_drawer: put the block in the drawer,377,0.2664183028813066,ACT-A-only,D,377,0.2731053930378719,ACT-ABC,-0.006687090156565323
D,13,turn_off_lightbulb: toggle the light switch to turn off the light bulb,807,0.2341868995401496,ACT-A-only,D,807,0.2283039555932214,ACT-ABC,0.005882943946928204
D,14,move_slider_right: move the door to the right side,520,0.2582795484134784,ACT-A-only,D,520,0.2669891087624889,ACT-ABC,-0.008709560349010492
D,15,turn_on_lightbulb: turn on the yellow light,975,0.1907279319258836,ACT-A-only,D,975,0.1830270832509566,ACT-ABC,0.007700848674927013
D,16,lift_blue_block_table: grasp the blue block and lift it up,1106,0.2422325829916362,ACT-A-only,D,1106,0.212173791194695,ACT-ABC,0.03005879179694118
D,17,turn_off_led: toggle the button to turn off the led light,949,0.2481094706721125,ACT-A-only,D,949,0.2240054141710442,ACT-ABC,0.02410405650106831
D,18,push_into_drawer: sweep the block into the drawer,1197,0.2659862595692016,ACT-A-only,D,1197,0.2535727814543267,ACT-ABC,0.012413478114874865
D,19,move_slider_right: push the sliding door to the right,1040,0.2434045963992293,ACT-A-only,D,1040,0.2372687601985839,ACT-ABC,0.006135836200645395
D,20,rotate_red_block_left: take the red block and rotate it left,1170,0.2832279177430348,ACT-A-only,D,1170,0.2568397947228872,ACT-ABC,0.02638812302014759
D,21,close_drawer: close the cabinet drawer,1142,0.1989345404428744,ACT-A-only,D,1142,0.1699502808050025,ACT-ABC,0.028984259637871906
D,22,lift_red_block_drawer: grasp the red block from the drawer,973,0.2418395653213896,ACT-A-only,D,973,0.2132730755384509,ACT-ABC,0.028566489782938687
D,23,unstack_block: remove the top block,926,0.2121451692474648,ACT-A-only,D,926,0.2003754355922566,ACT-ABC,0.011769733655208198
D,24,turn_off_lightbulb: turn off the yellow lamp,1088,0.2334264171008458,ACT-A-only,D,1088,0.2351755073143388,ACT-ABC,-0.0017490902134930097
D,25,lift_red_block_slider: pick up the red block in the sliding cabinet,650,0.1911045740888668,ACT-A-only,D,650,0.175489531480349,ACT-ABC,0.015615042608517815
D,26,lift_red_block_slider: grasp the red block lying in the cabinet,894,0.2040735214315271,ACT-A-only,D,894,0.1894977085284005,ACT-ABC,0.014575812903126595
D,27,close_drawer: push the handle of the drawer,1192,0.2243681832360441,ACT-A-only,D,1192,0.1923862449049749,ACT-ABC,0.03198193833106919
D,28,move_slider_right: slide the door to the right,780,0.2321903226085198,ACT-A-only,D,780,0.2164001401800375,ACT-ABC,0.01579018242848229
D,29,turn_on_lightbulb: move the light switch to turn on the yellow light,1024,0.2211202295875409,ACT-A-only,D,1024,0.2128098449320532,ACT-ABC,0.008310384655487696
D,30,lift_red_block_table: pick up the red block from the table,1057,0.2523546861299616,ACT-A-only,D,1057,0.2203314030294499,ACT-ABC,0.032023283100511696
D,31,rotate_pink_block_right: rotate the pink block 90 degrees to the right,1074,0.2990157225861229,ACT-A-only,D,1074,0.2806620684415934,ACT-ABC,0.018353654144529497
D,32,lift_blue_block_table: lift the blue block,875,0.2245727493422372,ACT-A-only,D,875,0.1988884465864726,ACT-ABC,0.02568430275576461
D,33,close_drawer: grasp the drawer handle and close it,1040,0.1891105467704339,ACT-A-only,D,1040,0.1540249428801381,ACT-ABC,0.0350856038902958
D,34,rotate_pink_block_left: take the pink block and turn it left,1235,0.2904024482135348,ACT-A-only,D,1235,0.2753253948109352,ACT-ABC,0.015077053402599572
D,35,turn_on_led: toggle the button to turn on the led light,749,0.2528652391223627,ACT-A-only,D,749,0.2391183083014033,ACT-ABC,0.013746930820959402
D,36,lift_red_block_slider: grasp the red block lying in the slider,455,0.2065899377668296,ACT-A-only,D,455,0.1718527435601412,ACT-ABC,0.03473719420668839
D,37,"rotate_pink_block_left: grasp the pink block, then rotate it left",1040,0.3027801450055379,ACT-A-only,D,1040,0.2827691936149047,ACT-ABC,0.02001095139063319
D,38,unstack_block: take off the block that is on top of the other one,1628,0.2347885708047731,ACT-A-only,D,1628,0.2214158891748261,ACT-ABC,0.013372681629947009
