model,task_index,task,action_l1_mean,action_l1_std,completed_seeds,mean_num_samples
act_ABC,0,move_slider_left: move the door to the left side,0.24989749652261914,0.02065218373732757,4,975.0
act_ABC,1,move_slider_left: slide the door to the left side,0.23611070574801904,0.034095143307636265,4,534.0
act_ABC,2,turn_off_lightbulb: slide down the switch,0.18225395311022824,0.0055298795732557195,4,845.0
act_ABC,3,turn_on_led: toggle the button to turn on the green light,0.2513171666595009,0.006592918909460296,4,613.0
act_ABC,4,turn_on_lightbulb: toggle the light switch to turn on the yellow light,0.21756450578570363,0.001354184808617594,4,650.0
act_ABC,5,turn_on_lightbulb: push the switch upwards,0.17092958205679393,0.010193328867609533,4,938.0
act_ABC,6,turn_on_led: push down the button to turn on the led,0.2695500129388684,0.005606444224362986,4,431.0
act_ABC,7,open_drawer: open the cabinet drawer,0.23099011856381993,0.003441434369863683,4,1040.0
act_ABC,8,open_drawer: grasp the drawer handle and open it,0.1771374667323051,0.009176802207984534,4,1040.0
act_ABC,9,turn_on_lightbulb: move up the switch,0.18896399393523408,0.008339967187431631,4,845.0
act_ABC,10,open_drawer: pull the handle of the drawer,0.19381508288270494,0.006452714435530826,4,910.0
act_ABC,11,move_slider_left: move the sliding door to the left,0.26602686663516434,0.004784045060722811,4,650.0
act_ABC,12,place_in_drawer: put the block in the drawer,0.27521895150844233,0.0016416289378699573,4,377.0
act_ABC,13,turn_off_lightbulb: toggle the light switch to turn off the light bulb,0.2215344997692987,0.005370785137352077,4,807.0
act_ABC,14,move_slider_right: move the door to the right side,0.2623476994474633,0.0037911990753501782,4,520.0
act_ABC,15,turn_on_lightbulb: turn on the yellow light,0.18427775970588506,0.007824369045794595,4,975.0
act_ABC,16,lift_blue_block_table: grasp the blue block and lift it up,0.22310677084526143,0.00991664641718148,4,1106.0
act_ABC,17,turn_off_led: toggle the button to turn off the led light,0.22966465090565358,0.006822176392820297,4,949.0
act_ABC,18,push_into_drawer: sweep the block into the drawer,0.25547824612894127,0.004791731470647451,4,1197.0
act_ABC,19,move_slider_right: push the sliding door to the right,0.23281432554537712,0.0060145201547923835,4,1040.0
act_ABC,20,rotate_red_block_left: take the red block and rotate it left,0.26359954246152667,0.0059427993878070915,4,1170.0
act_ABC,21,close_drawer: close the cabinet drawer,0.1797178334555704,0.007394785596454944,4,1142.0
act_ABC,22,lift_red_block_drawer: grasp the red block from the drawer,0.2158194763235602,0.007318841315302066,4,973.0
act_ABC,23,unstack_block: remove the top block,0.1982802389970061,0.005378062176442963,4,926.0
act_ABC,24,turn_off_lightbulb: turn off the yellow lamp,0.2301834686505197,0.0036243957506158367,4,1088.0
act_ABC,25,lift_red_block_slider: pick up the red block in the sliding cabinet,0.17637191017516526,0.005362222447550913,4,650.0
act_ABC,26,lift_red_block_slider: grasp the red block lying in the cabinet,0.18560664425447782,0.006842789082329653,4,894.0
act_ABC,27,close_drawer: push the handle of the drawer,0.19539829755542582,0.003132158986695647,4,1192.0
act_ABC,28,move_slider_right: slide the door to the right,0.20998794351322334,0.005854677975690523,4,780.0
act_ABC,29,turn_on_lightbulb: move the light switch to turn on the yellow light,0.21551894759159035,0.0025639335577220005,4,1024.0
act_ABC,30,lift_red_block_table: pick up the red block from the table,0.22767255747516335,0.006037175482378917,4,1057.0
act_ABC,31,rotate_pink_block_right: rotate the pink block 90 degrees to the right,0.26269383017265097,0.012983961622840485,4,1074.0
act_ABC,32,lift_blue_block_table: lift the blue block,0.20996667115816042,0.009670530753032626,4,875.0
act_ABC,33,close_drawer: grasp the drawer handle and close it,0.16289055530886304,0.007285391223583726,4,1040.0
act_ABC,34,rotate_pink_block_left: take the pink block and turn it left,0.266739192074127,0.007696444417292043,4,1235.0
act_ABC,35,turn_on_led: toggle the button to turn on the led light,0.24430426134565003,0.007995709096781019,4,749.0
act_ABC,36,lift_red_block_slider: grasp the red block lying in the slider,0.17147421314084263,0.003562348175759086,4,455.0
act_ABC,37,"rotate_pink_block_left: grasp the pink block, then rotate it left",0.2778396840422199,0.0046890088985841105,4,1040.0
act_ABC,38,unstack_block: take off the block that is on top of the other one,0.22176106746024757,0.00346550760591172,4,1628.0
act_ABC,39,lift_pink_block_slider: pick up the pink block from the shelf,0.17999586297792716,0.0031451515587808928,4,455.0
act_ABC,40,turn_on_led: push down the button to turn on the green light,0.2371585543944754,0.0021563115410626874,4,748.0
act_ABC,41,lift_pink_block_table: lift the pink block,0.24198902718406012,0.007910586452206088,4,1317.0
act_ABC,42,unstack_block: take off the stacked block,0.21419182687318267,0.004862164652783448,4,762.0
act_ABC,43,rotate_pink_block_right: take the pink block and turn it right,0.26890388016463007,0.004950559385122256,4,791.0
act_ABC,44,turn_on_lightbulb: slide up the switch,0.1736762850776187,0.009112351960460887,4,585.0
act_ABC,45,lift_blue_block_table: lift the blue block from the table,0.21164321342037748,0.00632087500071701,4,920.0
act_ABC,46,open_drawer: go open the drawer,0.20281798655508884,0.007033854728046386,4,845.0
act_ABC,47,move_slider_left: move the door to the left,0.23022579664471915,0.02279981499635487,4,520.0
act_ABC,48,turn_on_led: turn on the led light,0.21620617366502032,0.0079691709131788,4,1088.0
act_ABC,49,lift_red_block_drawer: lift the red block in the drawer,0.22308241491531122,0.005699515978188024,4,845.0
act_ABC,50,place_in_drawer: store the grasped object in the drawer,0.27687534689088095,0.006923178858543712,4,457.0
act_ABC,51,turn_on_led: turn on the led,0.24963075986324096,0.007884030034743314,4,417.0
act_ABC,52,place_in_slider: put the block in the cabinet,0.29559784949155343,0.013465962718463198,4,407.0
act_ABC,53,turn_off_led: toggle the button to turn off the led,0.2568062923022767,0.004685255096212956,4,627.0
act_ABC,54,turn_off_led: toggle the button to turn off the green light,0.23509231842332842,0.0007786104324570286,4,710.0
act_ABC,55,unstack_block: go to the tower of blocks and take off the top one,0.2068563731596315,0.0009112700315500972,4,1283.0
act_ABC,56,"close_drawer: grasp the handle of the drawer, then close it",0.16725614719486862,0.004595339572027869,4,1300.0
act_ABC,57,turn_off_lightbulb: turn off the light bulb,0.21208978591558447,0.0031898730216311467,4,1300.0
act_ABC,58,place_in_slider: put the grasped object in the cabinet,0.2712103939441402,0.005622008379776553,4,418.0
act_ABC,59,lift_blue_block_slider: pick up the blue block from the sliding cabinet,0.18632740621413485,0.010845017188098596,4,628.0
act_ABC,60,rotate_pink_block_left: grasp the pink block and rotate it left,0.27234572138494023,0.007303565408607895,4,1040.0
act_ABC,61,"rotate_pink_block_right: grasp the pink block, then rotate it right",0.250542576682669,0.0049752674794618515,4,1087.0
act_ABC,62,lift_red_block_slider: lift the red block lying in the cabinet,0.1915940276009368,0.006305208245458323,4,455.0
act_ABC,63,push_into_drawer: sweep the object into the drawer,0.2565028948557815,0.0022575443453672498,4,1143.0
act_ABC,64,turn_on_led: turn on the led lamp,0.251291909941165,0.0005712400273162021,4,919.0
act_ABC,65,unstack_block: remove a block from the stack,0.18728788036002664,0.001123929346003793,4,1174.0
act_ABC,66,lift_pink_block_drawer: grasp the pink block lying in the drawer,0.22062681687169924,0.005022353373674659,4,1254.0
act_ABC,67,place_in_slider: place the object in the cabinet,0.265840919899708,0.008670464678776083,4,564.0
act_ABC,68,place_in_drawer: store the object in the drawer,0.2525358152435353,0.008499447548438295,4,504.0
act_ABC,69,lift_red_block_slider: in the cabinet grasp the red block,0.18355817502098423,0.004807998566870121,4,455.0
act_ABC,70,place_in_drawer: move to the drawer and place the object,0.2795158442916785,0.004865821895232739,4,337.0
act_ABC,71,push_into_drawer: push the object into the drawer,0.24221917537732893,0.0021856784646587663,4,1657.0
act_ABC,72,"open_drawer: grasp the handle of the drawer, then open it",0.24737172860911474,0.003937831929516742,4,1365.0
act_ABC,73,move_slider_right: move the sliding door to the right,0.2581463382077904,0.007299426786036212,4,520.0
act_ABC,74,turn_off_led: push down the button to turn off the led,0.2170789231372586,0.00541874027014913,4,236.0
act_ABC,75,lift_blue_block_slider: lift the blue block on the shelf,0.1765058660287071,0.006376156886562924,4,880.0
act_ABC,76,rotate_red_block_right: take the red block and rotate it right,0.2526048938913719,0.003674813778097634,4,685.0
act_ABC,77,move_slider_left: move the door all the way to the left,0.21393458180798164,0.020618473421677268,4,390.0
act_ABC,78,lift_blue_block_drawer: grasp the blue block in the drawer,0.21591004317128354,0.0037990172254128234,4,1152.0
act_ABC,79,stack_block: place the block on top of another block,0.25876262755217877,0.007174623228270379,4,770.0
act_ABC,80,"lift_red_block_table: grasp the red block, then lift it up",0.2165411233261552,0.008533650082343231,4,826.0
act_ABC,81,open_drawer: pull the drawer,0.21482295510956104,0.003811963793609769,4,1365.0
act_ABC,82,rotate_pink_block_left: rotate the pink block towards the left,0.29363966338145425,0.0038058955637382164,4,975.0
act_ABC,83,place_in_slider: place the grasped object in the sliding cabinet,0.2691328985433728,0.005485155181985532,4,652.0
act_ABC,84,place_in_drawer: put the object in the drawer,0.3000757294831816,0.00692849539556405,4,291.0
act_ABC,85,place_in_slider: place the block in the cabinet,0.3038289828086477,0.003336926921148413,4,454.0
act_ABC,86,"close_drawer: grasp the drawer handle, then close it",0.24689431684351287,0.0040420473416185425,4,861.0
act_ABC,87,lift_blue_block_table: pick up the blue block on the table,0.21459629302775463,0.00927994258240412,4,1486.0
act_ABC,88,lift_pink_block_drawer: go towards the pink block in the drawer and lift it,0.22161280798328503,0.008578506542358325,4,715.0
act_ABC,89,move_slider_right: slide the door all the way to the right,0.22583270423400859,0.010217003558434959,4,650.0
act_ABC,90,lift_pink_block_drawer: go towards the pink block in the drawer and pick it up,0.21390103510557074,0.006492684665438696,4,585.0
act_ABC,91,lift_pink_block_slider: in the slider grasp the pink block,0.19036914561702692,0.003465450252279988,4,864.0
act_ABC,92,turn_on_lightbulb: turn on the light bulb,0.20670480245744424,0.0042755906508535006,4,1019.0
act_ABC,93,lift_blue_block_slider: grasp the blue block lying in the cabinet,0.1651511423833211,0.008924177066289207,4,946.0
act_ABC,94,place_in_slider: place the grasped object in the slider,0.2888886354997888,0.004027491758408565,4,444.0
act_ABC,95,lift_pink_block_drawer: grasp the pink block from the drawer,0.1993744205463038,0.002125271326263707,4,845.0
act_ABC,96,move_slider_right: push the door to the right side,0.2560288321656676,0.005383158819628783,4,520.0
act_ABC,97,lift_red_block_drawer: grasp the red block lying in the drawer,0.21975971394115024,0.004160145083126423,4,585.0
act_ABC,98,"move_slider_right: slide the door to the right, then let it go",0.23848090472963301,0.004000378877640361,4,715.0
act_ABC,99,push_pink_block_left: push left the pink block,0.18916113468820117,0.004028426162466734,4,1062.0
act_ABC,100,lift_red_block_drawer: pick up the red block lying in the drawer,0.2149131262049333,0.007238119688605328,4,1054.0
act_ABC,101,rotate_red_block_left: rotate the red block to the left,0.2659509574482729,0.008476593628808336,4,1365.0
act_ABC,102,close_drawer: close the drawer,0.17258807966677572,0.0032511087231693837,4,883.0
act_ABC,103,move_slider_right: grasp the door handle and slide the door to the right,0.23173469507504668,0.007422152095951509,4,845.0
act_ABC,104,lift_red_block_table: lift the red block,0.2179479891446897,0.006334827963843589,4,740.0
act_ABC,105,lift_red_block_table: pick up the red block,0.23215383495781353,0.005957311089675861,4,1315.0
act_ABC,106,rotate_blue_block_left: rotate the blue block to the left,0.2541938840024746,0.009342499239437464,4,650.0
act_ABC,107,"lift_blue_block_table: grasp the blue block on the table, then lift it up",0.21061183534276018,0.012543307993167194,4,650.0
act_ABC,108,close_drawer: grasp the handle of the drawer and close it,0.1082349285039191,0.008445668700550697,4,650.0
act_ABC,109,turn_off_led: turn off the green light,0.25241158151650334,0.007023591877943695,4,502.0
act_ABC,110,open_drawer: open the drawer,0.21847019035901338,0.004844424678369123,4,910.0
act_ABC,111,place_in_slider: place the object in the sliding cabinet,0.2771061666656372,0.006379952875152334,4,258.0
act_ABC,112,"move_slider_left: grasp the door handle, then move the door to the left",0.2188548588531685,0.023059046848716583,4,455.0
act_ABC,113,place_in_drawer: put the grasped object in the drawer,0.2824198919564786,0.007956090967132625,4,495.0
act_ABC,114,turn_on_led: push the button to turn on the green light,0.23562755305634392,0.005307426285348683,4,237.0
act_ABC,115,rotate_pink_block_right: rotate the pink block towards the right,0.2615346044953261,0.007971289869018077,4,715.0
act_ABC,116,place_in_drawer: go towards the drawer and store the object,0.22985825329965,0.001967430477082727,4,345.0
act_ABC,117,"place_in_drawer: move to the drawer, then store the object",0.2768318846424249,0.008535011569127726,4,581.0
act_ABC,118,lift_pink_block_drawer: pick up the pink block in the drawer,0.20757707632899042,0.005470293207760586,4,749.0
act_ABC,119,turn_off_lightbulb: toggle the light switch to turn off the yellow light,0.2070549076391875,0.0007684533216558453,4,1434.0
act_ABC,120,open_drawer: grasp the handle of the drawer and open it,0.18222847114812366,0.008415919861050681,4,1495.0
act_ABC,121,lift_pink_block_table: pick up the pink block,0.25696573513138077,0.00991306579109961,4,1203.0
act_ABC,122,turn_on_led: push down the button to turn on the led light,0.2410121592509217,0.007026760585329124,4,912.0
act_ABC,123,turn_on_lightbulb: turn on the yellow lamp,0.17805915277476714,0.01131138758478758,4,1318.0
act_ABC,124,turn_on_led: toggle the button to turn on the led,0.24203860534806987,0.005997719977739014,4,713.0
